Y11 imS X,Y11 imS Y,Y11 reS X,Y11 reS Y,Y12 imS X,Y12 imS Y,Y12 reS X,Y12 reS Y,Y21 imS X,Y21 imS Y,Y21 reS X,Y21 reS Y,Y22 imS X,Y22 imS Y,Y22 reS X,Y22 reS Y
56700000000,0.0003662109346919114,56700000000,3.14789502741392e-08,56700000000,-0.0001000837047460208,56700000000,-3.712680096367613e-09,56700000000,-0.0001144172401188375,56700000000,0.0008612044361015742,56700000000,0.0002441406221919116,56700000000,0.0001396201053084202
56800000000,0.0003662109346968552,56800000000,3.147895027246879e-08,56800000000,-0.0001002602192164723,56800000000,-3.712680096367023e-09,56800000000,-0.0001146190341931211,56800000000,0.0008612044361015742,56800000000,0.0002441406221968554,56800000000,0.000139620105308416
56900000000,0.0004272460909517813,56900000000,3.147895026605195e-08,56900000000,-0.0001004367336869238,56900000000,-3.712680096367175e-09,56900000000,-0.0001148208282674048,56900000000,0.0008612044361015737,56900000000,0.0002441406222017817,56900000000,0.0001396201053084136
57000000000,0.0004272460909566907,57000000000,3.147895027100592e-08,57000000000,-0.0001006132481573754,57000000000,-3.712680096367259e-09,57000000000,-0.0001150226223416884,57000000000,0.0008612044361015742,57000000000,0.0002441406222066909,57000000000,0.0001396201053084139
57100000000,0.0004272460909615826,57100000000,3.147895027137501e-08,57100000000,-0.000100789762627827,57100000000,-3.712680096368357e-09,57100000000,-0.0001152244164159721,57100000000,0.000861204436101574,57100000000,0.000244140622211583,57100000000,0.0001396201053084208
57200000000,0.0004272460909664575,57200000000,3.147895027443014e-08,57200000000,-0.0001009662770982784,57200000000,-3.712680096368029e-09,57200000000,-0.0001154262104902558,57200000000,0.000861204436101574,57200000000,0.0002441406222164578,57200000000,0.000139620105308419
57300000000,0.0004272460909713154,57300000000,3.147895026745858e-08,57300000000,-0.00010114279156873,57300000000,-3.712680096368441e-09,57300000000,-0.0001156280045645395,57300000000,0.0008612044361015744,57300000000,0.0002441406222213156,57300000000,0.000139620105308416
57400000000,0.0004272460909761562,57400000000,3.147895027557025e-08,57400000000,-0.0001013193060391815,57400000000,-3.712680096367159e-09,57400000000,-0.0001158297986388231,57400000000,0.0008612044361015742,57400000000,0.0002441406222261565,57400000000,0.0001396201053084167
57500000000,0.0004272460909809803,57500000000,3.147895027047189e-08,57500000000,-0.0001014958205096331,57500000000,-3.712680096367157e-09,57500000000,-0.0001160315927131068,57500000000,0.0008612044361015742,57500000000,0.0002441406222309807,57500000000,0.0001396201053084217
57600000000,0.0004882812472357872,57600000000,3.147895027195297e-08,57600000000,-0.0001016723349800846,57600000000,-3.712680096367214e-09,57600000000,-0.0001162333867873904,57600000000,0.0008612044361015738,57600000000,0.000305175778485788,57600000000,0.0001396201053084258
