Y11 imS X,Y11 imS Y,Y11 reS X,Y11 reS Y,Y12 imS X,Y12 imS Y,Y12 reS X,Y12 reS Y,Y21 imS X,Y21 imS Y,Y21 reS X,Y21 reS Y,Y22 imS X,Y22 imS Y,Y22 reS X,Y22 reS Y
55110000000,0.0003662109346108938,55110000000,1.348773658076927e-09,55110000000,-0.0002913407587904145,55110000000,-9.716282466808974e-10,55110000000,-0.0002874453677933049,55110000000,-0.0004018095160954187,55110000000,0.0005493164033608939,55110000000,0.000443494069695299
55120000000,0.000366210934611418,55120000000,1.348773662780426e-09,55120000000,-0.0002913936241068345,55120000000,-9.716282466770066e-10,55120000000,-0.0002874975262704947,55120000000,-0.0004018095160954187,55120000000,0.0005493164033614182,55120000000,0.0004434940696952956
55130000000,0.0003662109346119419,55130000000,1.348773666285373e-09,55130000000,-0.0002914464894232544,55130000000,-9.716282466764387e-10,55130000000,-0.0002875496847476845,55130000000,-0.0004018095160954185,55130000000,0.0005493164033619419,55130000000,0.0004434940696952992
55140000000,0.0004272460908624655,55140000000,1.348773661257335e-09,55140000000,-0.0002914993547396744,55140000000,-9.716282466794314e-10,55140000000,-0.0002876018432248742,55140000000,-0.0004018095160954186,55140000000,0.0006103515596124659,55140000000,0.0004434940696953055
55150000000,0.0003662109346129892,55150000000,1.348773656780955e-09,55150000000,-0.0002915522200560943,55150000000,-9.716282466776801e-10,55150000000,-0.0002876540017020642,55150000000,-0.0004018095160954185,55150000000,0.0005493164033629895,55150000000,0.0004434940696952971
55160000000,0.0003662109346135126,55160000000,1.348773661777235e-09,55160000000,-0.0002916050853725142,55160000000,-9.716282466816592e-10,55160000000,-0.0002877061601792541,55160000000,-0.0004018095160954186,55160000000,0.0005493164033635126,55160000000,0.0004434940696952989
55170000000,0.000366210934614036,55170000000,1.348773663782423e-09,55170000000,-0.0002916579506889344,55170000000,-9.716282466748635e-10,55170000000,-0.0002877583186564441,55170000000,-0.0004018095160954186,55170000000,0.0005493164033640361,55170000000,0.000443494069695301
55180000000,0.0003662109346145589,55180000000,1.348773665148615e-09,55180000000,-0.0002917108160053543,55180000000,-9.716282466789821e-10,55180000000,-0.0002878104771336338,55180000000,-0.0004018095160954185,55180000000,0.000549316403364559,55180000000,0.0004434940696952967
55190000000,0.0003662109346150817,55190000000,1.348773663737342e-09,55190000000,-0.0002917636813217743,55190000000,-9.716282466788321e-10,55190000000,-0.0002878626356108238,55190000000,-0.0004018095160954186,55190000000,0.0005493164033650818,55190000000,0.0004434940696952976
55200000000,0.0003662109346156044,55200000000,1.348773664131348e-09,55200000000,-0.0002918165466381943,55200000000,-9.716282466765835e-10,55200000000,-0.0002879147940880135,55200000000,-0.0004018095160954187,55200000000,0.0005493164033656045,55200000000,0.0004434940696953015
55210000000,0.0003662109346161268,55210000000,1.348773664198671e-09,55210000000,-0.0002918694119546141,55210000000,-9.716282466809109e-10,55210000000,-0.0002879669525652035,55210000000,-0.0004018095160954186,55210000000,0.0005493164033661266,55210000000,0.0004434940696952971
55220000000,0.0003662109346166492,55220000000,1.34877366628382e-09,55220000000,-0.0002919222772710341,55220000000,-9.716282466777173e-10,55220000000,-0.0002880191110423933,55220000000,-0.0004018095160954186,55220000000,0.000549316403366649,55220000000,0.0004434940696952958
55230000000,0.000366210934617171,55230000000,1.348773654937107e-09,55230000000,-0.0002919751425874541,55230000000,-9.716282466800148e-10,55230000000,-0.0002880712695195831,55230000000,-0.0004018095160954184,55230000000,0.0005493164033671712,55230000000,0.0004434940696953003
55240000000,0.0003662109346176931,55240000000,1.348773661372388e-09,55240000000,-0.0002920280079038742,55240000000,-9.716282466737076e-10,55240000000,-0.0002881234279967731,55240000000,-0.0004018095160954187,55240000000,0.0005493164033676931,55240000000,0.0004434940696952989
55250000000,0.0003662109346182146,55250000000,1.348773663504428e-09,55250000000,-0.000292080873220294,55250000000,-9.716282466804828e-10,55250000000,-0.0002881755864739627,55250000000,-0.0004018095160954186,55250000000,0.0005493164033682147,55250000000,0.0004434940696953012
55260000000,0.0003662109346187363,55260000000,1.348773661406967e-09,55260000000,-0.000292133738536714,55260000000,-9.716282466819053e-10,55260000000,-0.0002882277449511528,55260000000,-0.0004018095160954186,55260000000,0.0005493164033687363,55260000000,0.0004434940696952979
55270000000,0.0003662109346192575,55270000000,1.348773657439698e-09,55270000000,-0.0002921866038531339,55270000000,-9.716282466812287e-10,55270000000,-0.0002882799034283425,55270000000,-0.0004018095160954185,55270000000,0.0005493164033692573,55270000000,0.0004434940696952892
55280000000,0.0003662109346197788,55280000000,1.348773669491164e-09,55280000000,-0.0002922394691695539,55280000000,-9.716282466784537e-10,55280000000,-0.0002883320619055324,55280000000,-0.0004018095160954186,55280000000,0.0005493164033697787,55280000000,0.0004434940696953007
