S11 deg X,S11 deg Y,S11 mag X,S11 mag YRe,S11 mag YReImag,S12 deg X,S12 deg Y,S12 mag X,S12 mag YRe,S12 mag YReImag,S21 deg X,S21 deg Y,S21 mag X,S21 mag YRe,S21 mag YReImag,S22 deg X,S22 deg Y,S22 mag X,S22 mag YRe,S22 mag YReImag
1258925411.794167,-0.04972108074203759,1258925411.794167,0.9999964289697381,-0.0008677936855074302,1258925411.794167,89.86313515117843,1258925411.794167,5.27142177585257e-07,0.0002206772943670357,1258925411.794167,179.7898467198683,1258925411.794167,-0.08552305298381919,0.0003136885624521719,1258925411.794167,-0.03333405293795159,1258925411.794167,0.9861345692449361,-0.0005737222867603172
1288249551.693134,-0.04973377901677175,1288249551.693134,0.9999964273934496,-0.0008680153102181236,1288249551.693134,89.86530777739988,1288249551.693134,5.308579786425617e-07,0.00022581753482149,1288249551.693134,179.7859035367688,1288249551.693134,-0.08552304866574799,0.0003195744541897304,1288249551.693134,-0.03334684033663229,1288249551.693134,0.9861345677115352,-0.0005739423736346509
1318256738.556407,-0.0552109225011213,1318256738.556407,0.9999963383996007,-0.000963609150597243,1318256738.556407,89.8646985861127,1318256738.556407,5.456801113111763e-07,0.0002310774760413817,1318256738.556407,179.7791364368576,1318256738.556407,-0.08552302675390815,0.0003296754864033737,1318256738.556407,-0.0333599246786794,1318256738.556407,0.9861345656399352,-0.0005741675709766204
1348962882.591653,-0.05522421770571646,1348962882.591653,0.9999963366616189,-0.0009638411933828705,1348962882.591653,89.86677284432814,1348962882.591653,5.498301278348902e-07,0.0002364599682286189,1348962882.591653,179.7750074223242,1348962882.591653,-0.08552302193239425,0.0003358387690154229,1348962882.591653,-0.03337331320291317,1348962882.591653,0.986134563958462,-0.0005743980039160677
1380384264.602885,-0.05523782186936566,1380384264.602885,0.9999963348485856,-0.0009640786284334344,1380384264.602885,89.86879958109442,1380384264.602885,5.540781020621634e-07,0.000241967834750596,1380384264.602885,179.7707822333522,1380384264.602885,-0.08552301699561894,0.0003421456118240657,1380384264.602885,-0.03338701285948025,1380384264.602885,0.9861345622034878,-0.0005746337918041464
1412537544.622754,-0.05525174220513715,1412537544.622754,0.9999963329571209,-0.000964321581637046,1412537544.622754,89.87077987099369,1412537544.622754,5.584263765824e-07,0.000247603995949754,1412537544.622754,179.7664586298737,1412537544.622754,-0.08552301194075816,0.000348599358799199,1412537544.622754,-0.03340103091205409,1412537544.622754,0.9861345603716805,-0.0005748750596561058
1445439770.745927,-0.05526598609373599,1445439770.745927,0.9999963309836915,-0.000964570181807468,1445439770.745927,89.87271476398281,1445439770.745927,5.628773514191967e-07,0.000253371440191981,1445439770.745927,179.7620343196529,1445439770.745927,-0.08552300676491555,0.0003552034318011437,1445439770.745927,-0.03341537479312272,1445439770.745927,0.9861345584595569,-0.0005751219353926192
1479108388.168207,-0.05528056108741715,1479108388.168207,0.9999963289246023,-0.0009648245607524031,1479108388.168207,89.87460528594988,1479108388.168207,5.674334855033298e-07,0.0002592732254510769,1479108388.168207,179.7575069570723,1479108388.168207,-0.0855230014651203,0.0003619613323949531,1479108388.168207,-0.03343005210792951,1479108388.168207,0.986134556463472,-0.0005753745499076028
1513561248.436208,-0.06622377450535707,1513561248.436208,0.9999961245112188,-0.001155818943534514,1513561248.436208,89.87098829822556,1513561248.436208,5.973993875153734e-07,0.0002653124117484166,1513561248.436208,179.7474100008571,1513561248.436208,-0.08552295614608292,0.0003770327160507408,1513561248.436208,-0.033445070262511,1513561248.436208,0.9861345532976622,-0.000575633030034695
1548816618.912481,-0.06623903507073915,1548816618.912481,0.9999961222182288,-0.001156085287318921,1548816618.912481,89.87279306225065,1548816618.912481,6.027628225244501e-07,0.0002714923387395831,1548816618.912481,179.7426692769398,1548816618.912481,-0.08552294991322086,0.0003841091037343711,1548816618.912481,-0.03346043795976351,1548816618.912481,0.986134551096832,-0.0005758975268077464
1584893192.461113,-0.06625465046774259,1584893192.461113,0.9999961198262535,-0.001156357823952142,1584893192.461113,89.87455639388206,1584893192.461113,6.082528903734805e-07,0.0002778162147009705,1584893192.461113,179.7378181309461,1584893192.461113,-0.08552294353128238,0.0003913503206938269,1584893192.461113,-0.03347616298327884,1584893192.461113,0.9861345487994733,-0.0005761681735730309
1621810097.358929,-0.0662706285931937,1621810097.358929,0.9999961161715127,-0.001156636689913257,1621810097.358929,89.87085295834588,1621810097.358929,6.407963969180857e-07,0.0002842873241317072,1621810097.358929,179.7274277213089,1621810097.358929,-0.0855228961136683,0.0004068597500754096,1621810097.358929,-0.04442108768697432,1621810097.358929,0.9861344194010755,-0.0007645444859019362
1659586907.43756,-0.06628697867135602,1659586907.43756,0.9999961135409943,-0.001156922048840388,1659586907.43756,89.87253620851038,1659586907.43756,6.471760307006042e-07,0.000290909234347078,1659586907.43756,179.7223479556841,1659586907.43756,-0.08552288870325106,0.0004144422322504834,1659586907.43756,-0.04443755256853701,1659586907.43756,0.9861344168436341,-0.0007648278659811496
1698243652.461744,-0.0663037090009332,1698243652.461744,0.9999961107968742,-0.001157214044256995,1698243652.461744,89.87418076713656,1698243652.461744,6.53706219840649e-07,0.0002976853886394212,1698243652.461744,179.7171498713217,1698243652.461744,-0.08552288111575149,0.0004222013322124595,1698243652.461744,-0.0444544003750272,1698243652.461744,0.9861344141746506,-0.000765117836609337
1737800828.749375,-0.06632082845248795,1737800828.749375,0.9999961079340389,-0.00115751283097715,1737800828.749375,89.87578750618023,1737800828.749375,6.603905633392342e-07,0.0003046193798130221,1737800828.749375,179.7118307124697,1737800828.749375,-0.0855228733468341,0.000430141163935776,1737800828.749375,-0.04447164003925536,1737800828.749375,0.9861344113890784,-0.0007654145515277436
1778279410.038922,-0.07726664447597947,1778279410.038922,0.9999958659214385,-0.0013485525905275,1778279410.038922,89.87189313716937,1778279410.038922,6.969600919420569e-07,0.0003117148006825478,1778279410.038922,179.7009235188288,1778279410.038922,-0.08552281809637964,0.0004464219881988029,1778279410.038922,-0.04448928021551796,1778279410.038922,0.9861344072104621,-0.000765718158696785
